x;Objective;Activity;Action;Proximity;Human Role;Information Acquisition;Information Analysis;Action Selection;Action Implementation;Criticality;Criticality_Change;Proximity_Change;Human Role_Change;Information Acquisition_Change;Information Analysis_Change;Action Selection_Change;Action Implementation_Change
14;Assembling the threaded stick component;Insert the second stick into the mounting mechanism;Worker inserts the first stick (guided by the led lights);Touching;Collaborator;Low;Low;Low;Low;Loss of discretionary money;dis;i;" ";" ";" ";" ";" "
15;Assembling the threaded stick component;Insert the second stick into the mounting mechanism;Worker secures the stick on the mounting mechanism;Touching;Collaborator;Low;Low;Low;Low;Chance at injury;ids;d;" ";" ";" ";" ";" "
16;Assembling the threaded stick component;Insert the second stick into the mounting mechanism;Worker confirms that the stick is in position;Approaching;Collaborator;Low;Low;Low;Low;Loss of discretionary money;di;dd;d;" ";" ";" ";" "
17;Assembling the threaded stick component;Insert the second stick into the mounting mechanism;Worker is instructed to move to a position behind the line (safety zone robot);Avoidance;Bystander;Low;Low;Low;Low;Loss of comfort;ii;d;d;" ";" ";" ";" "
18;Assembling the threaded stick component;Insert the second stick into the mounting mechanism;Worker confirms that is behind the line.;Avoidance;Bystander;Low;Low;Low;Low;Chance at injury;i;" ";" ";" ";" ";" ";" "
19;Assembling the threaded stick component;Insert the second stick into the mounting mechanism;Worker is warned that the robot will move and confirms that is behind the line;Avoidance;Bystander;Low;Low;Low;Low;Chance at injury;" ";" ";" ";" ";" ";" ";i
20;Assembling the threaded stick component;Insert the second stick into the mounting mechanism;Robot starts rotating the mounting mechanism to enable the worker to load the next stick;Avoidance;Bystander;Low;Low;Low;Medium;Chance at injury;d;i;i;" ";" ";" ";id
21;Assembling the threaded stick component;Insert the third stick into the mounting mechanism;Worker receives instructions on how to load the first stick into the mouting mechanism;Approaching;Collaborator;Low;Low;Low;Low;Loss of comfort;dd;ii;i;" ";" ";" ";d
22;Assembling the threaded stick component;Insert the third stick into the mounting mechanism;Worker inserts the first stick (guided by the led lights);Touching;Collaborator;Low;Low;Low;Low;Loss of discretionary money;dis;i;" ";" ";" ";" ";" "
23;Assembling the threaded stick component;Insert the third stick into the mounting mechanism;Worker secures the stick on the mounting mechanism;Touching;Collaborator;Low;Low;Low;Low;Chance at injury;ids;d;" ";" ";" ";" ";" "
24;Assembling the threaded stick component;Insert the third stick into the mounting mechanism;Worker confirms that the stick is in position;Approaching;Collaborator;Low;Low;Low;Low;Loss of discretionary money;di;dd;d;" ";" ";" ";" "
25;Assembling the threaded stick component;Insert the third stick into the mounting mechanism;Worker is instructed to move to a position behind the line (safety zone robot);Avoidance;Bystander;Low;Low;Low;Low;Loss of comfort;ii;d;d;" ";" ";" ";" "
26;Assembling the threaded stick component;Insert the third stick into the mounting mechanism;Worker confirms that is behind the line.;Avoidance;Bystander;Low;Low;Low;Low;Chance at injury;i;" ";" ";" ";" ";" ";" "
27;Assembling the threaded stick component;Insert the third stick into the mounting mechanism;Worker is warned that the robot will move and confirms that is behind the line;Avoidance;Bystander;Low;Low;Low;Low;Chance at injury;" ";" ";" ";" ";" ";" ";i
28;Assembling the threaded stick component;Insert the third stick into the mounting mechanism;Robot starts rotating the mounting mechanism to enable the worker to load the next stick;Avoidance;Bystander;Low;Low;Low;Medium;Chance at injury;d;" ";" ";i;i;" ";ii
29;Assembling the threaded stick component;Stick measuring;After all three sticks are secured and the human is in the safety zone. Robot starts measuring process;Avoidance;Bystander;High;High;Low;High;Loss of comfort;d;" ";" ";i;i;" ";i
30;Assembling the threaded stick component;Stick measuring;Robot measures each stick using a lightbox and a attached camera.;Avoidance;Bystander;High;High;Low;High;Loss of comfort;" ";" ";" ";d;d;" ";d
31;Assembling the threaded stick component;Thread Winding;Robot moves the sticks above the thread feeding box;Avoidance;Bystander;Low;Low;Low;Medium;Loss of comfort;" ";i;" ";d;d;" ";dd
32;Assembling the threaded stick component;Thread Winding;Worker is guided to the robot;Passing;Bystander;Low;Low;Low;Low;Loss of comfort;" ";ii;" ";i;i;" ";d
33;Assembling the threaded stick component;Thread Winding;Worker arrives at robot station (based on positional beacon);Approaching;Bystander;Medium;Medium;Low;Low;Loss of comfort;d;i;i;id;id;" ";" "
34;Assembling the threaded stick component;Thread Winding;Worker is instructed to tie a thread to the bottom of one of the sticks;Approaching;Collaborator;Low;Low;Low;Low;Loss of discretionary money;dis;i;i;d;d;" ";" "
35;Assembling the threaded stick component;Thread Winding;Worker ties the thread to the stick;Touching;Collaborator;Low;Low;Low;Low;Chance at injury;ids;id;d;" ";" ";" ";" "
36;Assembling the threaded stick component;Thread Winding;Worker is instructed to move to a position behind the line (safety zone robot);Passing;Bystander;Low;Low;Low;Low;Loss of comfort;d;dd;d;" ";" ";" ";" "
37;Assembling the threaded stick component;Thread Winding;Worker confirms that is behind the line.;Avoidance;Bystander;Low;Low;Low;Low;Loss of comfort;i;d;" ";" ";" ";" ";" "
38;Assembling the threaded stick component;Thread Winding;Worker is warned that the robot will move and confirms that is behind the line;Avoidance;Bystander;Low;Low;Low;Low;Chance at injury;i;" ";" ";" ";" ";i;i
39;Assembling the threaded stick component;Thread Winding;Robot starts the winding procedure;Avoidance;Bystander;Low;Low;Medium;High;Chance at injury;" ";" ";" ";" ";" ";i;i
40;Assembling the threaded stick component;Thread Winding;Robot completes the winding procedure;Avoidance;Bystander;Low;Low;Medium;High;Chance at injury;d;" ";" ";" ";" ";d;d
41;Assembling the threaded stick component;Removing the module from the robot;Robot moves end effector to removing position to allow easy acces for the worker;Avoidance;Bystander;Low;Low;Low;Medium;Loss of comfort;d;i;" ";" ";" ";d;dd
42;Assembling the threaded stick component;Removing the module from the robot;Worker is guided to the robot;Passing;Bystander;Low;Low;Low;Low;Loss of comfort;" ";ii;i;" ";" ";" ";d
43;Assembling the threaded stick component;Removing the module from the robot;Worker arrives at robot station (based on positional beacon);Approaching;Collaborator;Low;Low;Low;Low;Loss of comfort;i;ii;i;" ";" ";" ";" "
44;Assembling the threaded stick component;Removing the module from the robot;Worker receives instructions on how to tie off the thread;Touching;Collaborator;Low;Low;Low;Low;Chance at injury;i;i;" ";" ";" ";" ";" "
45;Assembling the threaded stick component;Removing the module from the robot;Worker ties off the thread of the module;Touching;Collaborator;Low;Low;Low;Low;Chance at injury;" ";" ";" ";" ";" ";" ";" "
46;Assembling the threaded stick component;Removing the module from the robot;Worker receives instructions on how to remove the completed module from the robot;Touching;Collaborator;Low;Low;Low;Low;Chance at injury;" ";" ";" ";" ";" ";" ";" "
